Name,A,B,C,Signal
R-14_1,0.4490572744916056,0.00034994520474347304,0.0,A
R-1,0.9770114264605294,0.0,0.002902483588384812,A
R-33_1,0.9400411231900022,9.145660181764576e-11,0.07162679037048375,A
R-33_2,0.844238959215554,4.572708413186893e-5,0.005834075241708784,A
R-15,2.933437193792613e-16,0.0,1.0,C
R-62,0.05864399099374818,0.19507895295530409,0.4766438176465337,C
R-61_1,0.24848727030665488,2.56638452441956e-7,0.6223273839732056,C
R-43_1,2.933437193792613e-16,0.01603685618580571,0.8643024778126719,C
R-43_2,1.0,0.01455402940429348,0.11907944388533602,A
R-42,0.033891738421974654,1.0,0.08191315127971754,B
R-28,2.933437193792613e-16,0.9521791171434751,0.00041039575317159045,B
R-50_1,0.2738689918530991,0.1317858515188932,0.27726987219735394,C
R-50_2,0.6951775616923337,0.0038025561084799077,0.021572431383989028,A
R-11,0.43607199441003774,0.013269006879785303,0.5871467683017109,C
R-44_1,0.7880416385247784,0.0016495770062313563,0.08229997301692162,A
R-44_2,0.8197478670799018,0.0006811763064042991,0.04859896170767976,A
R-45_1,0.5171932676912921,0.02039211384833671,0.2995115648450434,A
R-45_2,0.9437529088106467,0.0395190919466039,0.021486517768644298,A
